ip,status,bytes_sent,hour,day_of_week,is_night,is_api_call,is_admin_call,endpoint_length,is_error,is_success,is_redirect,ua_length,ua_is_missing,ua_has_bot_like_keyword,ua_has_browser_keyword,referrer_is_missing,referrer_is_internal,ml_pred,final_prediction
113.199.229.4,500,104,5,2,1,1,0,102,1,0,0,125,0,0,1,1,0,1,1
113.199.229.4,200,2547,5,2,1,0,0,32,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,0,5,2,1,1,0,62,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,101,5749,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,200,601,5,2,1,0,0,32,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,101,4,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,200,336,5,2,1,0,0,23,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,1427,5,2,1,0,0,29,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,586,5,2,1,0,0,22,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,663820,5,2,1,0,0,33,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,18052,5,2,1,0,0,11,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,2404787,5,2,1,0,0,27,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,2142,5,2,1,1,0,15,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,16066,5,2,1,0,0,18,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,106140,5,2,1,0,0,51,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,98868,5,2,1,0,0,54,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,329,5,2,1,1,0,15,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,64502,5,2,1,0,0,32,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,509371,5,2,1,0,0,32,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,980,5,2,1,0,0,14,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,74190,5,2,1,0,0,31,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,3,5,2,1,1,0,34,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,24,5,2,1,1,0,39,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,473,5,2,1,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,101,148,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,5,2,1,0,0,17,0,0,0,125,0,0,1,1,0,1,1
